"Abkhazia","Sukhumi"
"Afghanistan","Kabul"
"AkrotiriandDhekelia","EpiskopiCantonment"
"Albania","Tirana"
"Algeria","Algiers"
"AmericanSamoa","PagoPago"
"Andorra","AndorralaVella"
"Angola","Luanda"
"Anguilla","TheValley"
"AntiguaandBarbuda","St.John's"
"Argentina","BuenosAires"
"Armenia","Yerevan"
"Aruba","Oranjestad"
"AscensionIsland","Georgetown"
"Australia","Canberra"
"Austria","Vienna"
"Azerbaijan","Baku"
"Bahamas","Nassau"
"Bahrain","Manama"
"Bangladesh","Dhaka"
"Barbados","Bridgetown"
"Belarus","Minsk"
"Belgium","Brussels"
"Belize","Belmopan"
"Benin","Porto-Novo"
"Bermuda","Hamilton"
"Bhutan","Thimphu"
"Bolivia","Sucre"
"Bolivia","LaPaz"
"BosniaandHerzegovina","Sarajevo"
"Botswana","Gaborone"
"Brazil","Brasília"
"BritishVirginIslands","RoadTown"
"Brunei","BandarSeriBegawan"
"Bulgaria","Sofia"
"BurkinaFaso","Ouagadougou"
"Burundi","Bujumbura"
"Cambodia","PhnomPenh"
"Cameroon","Yaoundé"
"Canada","Ottawa"
"CapeVerde","Praia"
"CaymanIslands","GeorgeTown"
"CentralAfricanRepublic","Bangui"
"Chad","N'Djamena"
"Chile","Santiago"
"China","Beijing"
"ChristmasIsland","FlyingFishCove"
"Cocos(Keeling)Islands","WestIsland"
"Colombia","Bogotá"
"Comoros","Moroni"
"CookIslands","Avarua"
"CostaRica","SanJosé"
"Croatia","Zagreb"
"Cuba","Havana"
"Curaçao","Willemstad"
"Cyprus","Nicosia"
"CzechRepublic","Prague"
"Côted'Ivoire","Yamoussoukro"
"DemocraticRepublicoftheCongo","Kinshasa"
"Denmark","Copenhagen"
"Djibouti","Djibouti"
"Dominica","Roseau"
"DominicanRepublic","SantoDomingo"
"EastTimor(Timor-Leste)","Dili"
"EasterIsland","HangaRoa"
"Ecuador","Quito"
"Egypt","Cairo"
"ElSalvador","SanSalvador"
"EquatorialGuinea","Malabo"
"Eritrea","Asmara"
"Estonia","Tallinn"
"Ethiopia","AddisAbaba"
"FalklandIslands","Stanley"
"FaroeIslands","Tórshavn"
"FederatedStatesofMicronesia","Palikir"
"Fiji","Suva"
"Finland","Helsinki"
"France","Paris"
"FrenchGuiana","Cayenne"
"FrenchPolynesia","Papeete"
"Gabon","Libreville"
"Gambia","Banjul"
"Georgia","Tbilisi"
"Germany","Berlin"
"Ghana","Accra"
"Gibraltar","Gibraltar"
"Greece","Athens"
"Greenland","Nuuk"
"Grenada","St.George's"
"Guam","Hagåtña"
"Guatemala","GuatemalaCity"
"Guernsey","St.PeterPort"
"Guinea","Conakry"
"Guinea-Bissau","Bissau"
"Guyana","Georgetown"
"Haiti","Port-au-Prince"
"Honduras","Tegucigalpa"
"Hungary","Budapest"
"Iceland","Reykjavík"
"India","NewDelhi"
"Indonesia","Jakarta"
"Iran","Tehran"
"Iraq","Baghdad"
"Ireland","Dublin"
"IsleofMan","Douglas"
"Israel","Jerusalem"
"Italy","Rome"
"Jamaica","Kingston"
"Japan","Tokyo"
"Jersey","St.Helier"
"Jordan","Amman"
"Kazakhstan","Astana"
"Kenya","Nairobi"
"Kiribati","Tarawa"
"Kosovo","Pristina"
"Kuwait","KuwaitCity"
"Kyrgyzstan","Bishkek"
"Laos","Vientiane"
"Latvia","Riga"
"Lebanon","Beirut"
"Lesotho","Maseru"
"Liberia","Monrovia"
"Libya","Tripoli"
"Liechtenstein","Vaduz"
"Lithuania","Vilnius"
"Luxembourg","Luxembourg"
"Macedonia","Skopje"
"Madagascar","Antananarivo"
"Malawi","Lilongwe"
"Malaysia","KualaLumpur"
"Maldives","Malé"
"Mali","Bamako"
"Malta","Valletta"
"MarshallIslands","Majuro"
"Mauritania","Nouakchott"
"Mauritius","PortLouis"
"Mexico","MexicoCity"
"Moldova","Chisinau"
"Monaco","Monaco"
"Mongolia","Ulaanbaatar"
"Montenegro","Podgorica"
"Montserrat","Plymouth"
"Morocco","Rabat"
"Mozambique","Maputo"
"Myanmar","Naypyidaw"
"Nagorno-KarabakhRepublic","Stepanakert"
"Namibia","Windhoek"
"Nauru","Yaren"
"Nepal","Kathmandu"
"Netherlands","Amsterdam"
"NewCaledonia","Nouméa"
"NewZealand","Wellington"
"Nicaragua","Managua"
"Niger","Niamey"
"Nigeria","Abuja"
"Niue","Alofi"
"NorfolkIsland","Kingston"
"NorthKorea","Pyongyang"
"NorthernCyprus","Nicosia"
"UnitedKingdomNorthernIreland","Belfast"
"NorthernMarianaIslands","Saipan"
"Norway","Oslo"
"Oman","Muscat"
"Pakistan","Islamabad"
"Palau","Ngerulmud"
"Palestine","Jerusalem"
"Panama","PanamaCity"
"PapuaNewGuinea","PortMoresby"
"Paraguay","Asunción"
"Peru","Lima"
"Philippines","Manila"
"PitcairnIslands","Adamstown"
"Poland","Warsaw"
"Portugal","Lisbon"
"PuertoRico","SanJuan"
"Qatar","Doha"
"RepublicofChina(Taiwan)","Taipei"
"RepublicoftheCongo","Brazzaville"
"Romania","Bucharest"
"Russia","Moscow"
"Rwanda","Kigali"
"SaintBarthélemy","Gustavia"
"SaintHelena","Jamestown"
"SaintKittsandNevis","Basseterre"
"SaintLucia","Castries"
"SaintMartin","Marigot"
"SaintPierreandMiquelon","St.Pierre"
"SaintVincentandtheGrenadines","Kingstown"
"Samoa","Apia"
"SanMarino","SanMarino"
"SaudiArabia","Riyadh"
"Scotland","Edinburgh"
"Senegal","Dakar"
"Serbia","Belgrade"
"Seychelles","Victoria"
"SierraLeone","Freetown"
"Singapore","Singapore"
"SintMaarten","Philipsburg"
"Slovakia","Bratislava"
"Slovenia","Ljubljana"
"SolomonIslands","Honiara"
"Somalia","Mogadishu"
"Somaliland","Hargeisa"
"SouthAfrica","Pretoria"
"SouthGeorgiaandtheSouthSandwichIslands","Grytviken"
"SouthKorea","Seoul"
"SouthOssetia","Tskhinvali"
"SouthSudanSouthSudan","Juba"
"Spain","Madrid"
"SriLanka","SriJayawardenapuraKotte"
"Sudan","Khartoum"
"Suriname","Paramaribo"
"Swaziland","Mbabane"
"Sweden","Stockholm"
"Switzerland","Bern"
"Syria","Damascus"
"SãoToméandPríncipe","SãoTomé"
"Tajikistan","Dushanbe"
"Tanzania","Dodoma"
"Thailand","Bangkok"
"Togo","Lomé"
"Tonga","Nukuʻalofa"
"Transnistria","Tiraspol"
"TrinidadandTobago","PortofSpain"
"TristandaCunha","EdinburghoftheSevenSeas"
"Tunisia","Tunis"
"Turkey","Ankara"
"Turkmenistan","Ashgabat"
"TurksandCaicosIslands","CockburnTown"
"Tuvalu","Funafuti"
"Uganda","Kampala"
"Ukraine","Kiev"
"UnitedArabEmirates","AbuDhabi"
"UnitedKingdom;England","London"
"UnitedStates","Washington,D.C."
"UnitedStatesVirginIslands","CharlotteAmalie"
"Uruguay","Montevideo"
"Uzbekistan","Tashkent"
"Vanuatu","PortVila"
"VaticanCity","VaticanCity"
"Venezuela","Caracas"
"Vietnam","Hanoi"
"Wales","Cardiff"
"WallisandFutuna","Mata-Utu"
"WesternSahara","ElAaiún"
"Yemen","Sanaá"
"Zambia","Lusaka"
"Zimbabwe","Harare"
